table_name,column_name,datatype,arraysize,xtype,size,description,utype,unit,ucd,indexed,principal,std,column_index,format
ps,sy_pmdecstr,char,200.0,,200.0,Proper Motion (Dec) [mas/yr],,mas/yr,,0,0,0,245,200s
ps,sy_plx,double,,,,Parallax [mas],,mas,,0,0,0,246,14.7f
ps,sy_plxerr1,double,,,,Parallax [mas] Upper Unc,,mas,,0,0,0,247,14.7f
ps,sy_plxerr2,double,,,,Parallax [mas] Lower Unc,,mas,,0,0,0,248,14.7f
ps,sy_plxstr,char,200.0,,200.0,Parallax [mas],,mas,,0,0,0,249,200s
ps,sy_dist,double,,,,Distance [pc],,pc,,0,1,0,250,14.7f
ps,sy_disterr1,double,,,,Distance [pc] Upper Unc,,pc,,0,1,0,251,14.7f
ps,sy_disterr2,double,,,,Distance [pc] Lower Unc,,pc,,0,1,0,252,14.7f
ps,sy_diststr,char,200.0,,200.0,Distance [pc],,pc,,0,0,0,253,200s
ps,sy_bmag,double,,,,B (Johnson) Magnitude,,mag,,0,0,0,254,14.7f
ps,sy_bmagerr1,double,,,,B (Johnson) Magnitude Upper Unc,,mag,,0,0,0,255,14.7f
ps,sy_bmagerr2,double,,,,B (Johnson) Magnitude Lower Unc,,mag,,0,0,0,256,14.7f
ps,sy_bmagstr,char,200.0,,200.0,B (Johnson) Magnitude,,mag,,0,0,0,257,200s
ps,sy_vmag,double,,,,V (Johnson) Magnitude,,mag,,0,1,0,258,14.7f
ps,sy_vmagerr1,double,,,,V (Johnson) Magnitude Upper Unc,,mag,,0,1,0,259,14.7f
ps,sy_vmagerr2,double,,,,V (Johnson) Magnitude Lower Unc,,mag,,0,1,0,260,14.7f
ps,sy_vmagstr,char,200.0,,200.0,V (Johnson) Magnitude,,mag,,0,0,0,261,200s
ps,sy_jmag,double,,,,J (2MASS) Magnitude,,mag,,0,0,0,262,14.7f
ps,sy_jmagerr1,double,,,,J (2MASS) Magnitude Upper Unc,,mag,,0,0,0,263,14.7f
ps,sy_jmagerr2,double,,,,J (2MASS) Magnitude Lower Unc,,mag,,0,0,0,264,14.7f
ps,sy_jmagstr,char,200.0,,200.0,J (2MASS) Magnitude,,mag,,0,0,0,265,200s
ps,sy_hmag,double,,,,H (2MASS) Magnitude,,mag,,0,0,0,266,14.7f
ps,sy_hmagerr1,double,,,,H (2MASS) Magnitude Upper Unc,,mag,,0,0,0,267,14.7f
ps,sy_hmagerr2,double,,,,H (2MASS) Magnitude Lower Unc,,mag,,0,0,0,268,14.7f
ps,sy_hmagstr,char,200.0,,200.0,H (2MASS) Magnitude,,mag,,0,0,0,269,200s
ps,sy_kmag,double,,,,Ks (2MASS) Magnitude,,mag,,0,1,0,270,14.7f
ps,sy_kmagerr1,double,,,,Ks (2MASS) Magnitude Upper Unc,,mag,,0,1,0,271,14.7f
ps,sy_kmagerr2,double,,,,Ks (2MASS) Magnitude Lower Unc,,mag,,0,1,0,272,14.7f
ps,sy_kmagstr,char,200.0,,200.0,Ks (2MASS) Magnitude,,mag,,0,0,0,273,200s
ps,sy_umag,double,,,,u (Sloan) Magnitude,,mag,,0,0,0,274,14.7f
ps,sy_umagerr1,double,,,,u (Sloan) Magnitude Upper Unc,,mag,,0,0,0,275,14.7f
ps,sy_umagerr2,double,,,,u (Sloan) Magnitude Lower Unc,,mag,,0,0,0,276,14.7f
ps,sy_umagstr,char,200.0,,200.0,u (Sloan) Magnitude,,mag,,0,0,0,277,200s
ps,sy_rmag,double,,,,r (Sloan) Magnitude,,mag,,0,0,0,278,14.7f
ps,sy_rmagerr1,double,,,,r (Sloan) Magnitude Upper Unc,,mag,,0,0,0,279,14.7f
ps,sy_rmagerr2,double,,,,r (Sloan) Magnitude Lower Unc,,mag,,0,0,0,280,14.7f
ps,sy_rmagstr,char,200.0,,200.0,r (Sloan) Magnitude,,mag,,0,0,0,281,200s
ps,sy_imag,double,,,,i (Sloan) Magnitude,,mag,,0,0,0,282,14.7f
ps,sy_imagerr1,double,,,,i (Sloan) Magnitude Upper Unc,,mag,,0,0,0,283,14.7f
ps,sy_imagerr2,double,,,,i (Sloan) Magnitude Lower Unc,,mag,,0,0,0,284,14.7f
ps,sy_imagstr,char,200.0,,200.0,i (Sloan) Magnitude,,mag,,0,0,0,285,200s
ps,sy_zmag,double,,,,z (Sloan) Magnitude,,mag,,0,0,0,286,14.7f
ps,sy_zmagerr1,double,,,,z (Sloan) Magnitude Upper Unc,,mag,,0,0,0,287,14.7f
